Uniprot,Uniprot_Name,Gene,,
Q16655,MAR1_HUMAN,MLANA,,
P04271,S100B_HUMAN,S100B,,
P40967,PMEL_HUMAN,PMEL,,
P30530,UFO_HUMAN,AXL,,
P48436,SOX9_HUMAN,SOX9,,
P08575,PTPRC_HUMAN,PTPRC,,
P42771,CDN2A_HUMAN,CDKN2A,,
P11802,CDK4_HUMAN,CDK4,,
P08581,MET_HUMAN,MET,,
P00533,EGFR_HUMAN,EGFR,,
P50148,GNAQ_HUMAN,GNAQ,,
P29992,GNA11_HUMAN,GNA11,,
P10721,KIT_HUMAN,KIT,,
P42336,PK3CA_HUMAN,PIK3CA,,
Q02750,MP2K1_HUMAN,MAP2K1,,
P28482,MK01_HUMAN,MAPK1,,
P04049,RAF1_HUMAN,RAF1,,
P42345,MTOR_HUMAN,MTOR,,
P60484,PTEN_HUMAN,PTEN,,
P12931,SRC_HUMAN,SRC,,
P21359,NF1_HUMAN,NF1,,
Q05655,KPCD_HUMAN,PRKCD,,
P17252,KPCA_HUMAN,PRKCA,,
P35222,CTNB1_HUMAN,CTNNB1,,
P38398,BRCA1_HUMAN,BRCA1,,
P51587,BRCA2_HUMAN,BRCA2,,
P04637,P53_HUMAN,TP53,,
Q12884,SEPR_HUMAN,FAP,,
P17643,TYRP1_HUMAN,TYRP1,,
